threshold,coverage,precision,n_routed
0.49,0.9243183954873081,0.8333615867096118,5899
0.492,0.9227514885615794,0.8337578536254033,5889
0.494,0.9205578188655594,0.8340425531914893,5875
0.496,0.9182074584769665,0.8349829351535836,5860
0.498,0.9169539329363836,0.83526999316473,5852
0.5,0.914133500470072,0.8363044223517312,5834
0.502,0.9117831400814792,0.8367417081972848,5819
0.504,0.9100595424631777,0.837465564738292,5808
0.506,0.9078658727671576,0.8375906109768726,5794
0.508,0.9064556565340018,0.837856525496975,5785
0.51,0.9036352240676904,0.8389110456043003,5767
0.512,0.9017549357568161,0.8389226759339704,5755
0.514,0.8998746474459417,0.8394567299320912,5743
0.516,0.8978376684424945,0.8403141361256544,5730
0.518,0.8959573801316202,0.8406785589366912,5718
0.52,0.8943904732058916,0.8416257883672039,5708
0.522,0.8926668755875901,0.8423731788660699,5697
0.524,0.8904732058915701,0.8425127573464719,5683
0.526,0.8889062989658414,0.8425876961043539,5673
0.528,0.8870260106549671,0.8429606076664901,5661
0.53,0.8849890316515199,0.8431303116147308,5648
0.532,0.8834221247257913,0.8432068109258603,5638
0.534,0.8820119084926356,0.843133771540238,5629
0.536,0.8807583829520527,0.8432663227183775,5621
0.538,0.8779379504857412,0.8443690879885776,5603
0.54,0.8751175180194296,0.8452999104744853,5585
0.542,0.8729238483234096,0.846347154909352,5571
0.544,0.8702601065496709,0.8474972992437882,5554
0.546,0.8683798182387966,0.8480692890653194,5542
0.548,0.8664995299279222,0.8488245931283906,5530
0.55,0.8643058602319023,0.8493473531544597,5516
0.552,0.8614854277655907,0.850491087668243,5498
0.554,0.8591350673769979,0.8517235090279044,5483
0.556,0.8580382325289878,0.8517165814463111,5476
0.558,0.855531181447822,0.8516483516483516,5460
0.56,0.8531808210592291,0.8523415977961433,5445
0.562,0.8506737699780633,0.8531958003315527,5429
0.564,0.8480100282043247,0.8538433111603844,5412
0.566,0.8467565026637418,0.8539970392301999,5404
0.568,0.8451895957380131,0.8544679273266592,5394
0.57,0.8436226888122845,0.8549405646359584,5384
0.572,0.8415857098088374,0.8553342021969838,5371
0.574,0.8400188028831087,0.8561835478455512,5361
0.576,0.8371983704167972,0.8566348493355792,5343
0.578,0.8361015355687872,0.8570089955022488,5336
0.58,0.8340645565653401,0.8581626902122863,5323
0.582,0.83187088686932,0.8589188171030326,5309
0.584,0.8298339078658727,0.8593277945619335,5296
0.586,0.8282670009401442,0.8598183881952327,5286
0.588,0.8263867126292698,0.8608266970041714,5274
0.59,0.8230962080852398,0.8614125261755188,5253
0.592,0.821685991852084,0.8615560640732265,5244
0.594,0.8193356314634911,0.8623063683304647,5229
0.596,0.8183954873080539,0.8625311123875168,5223
0.598,0.8163585083046067,0.8627639155470249,5210
0.6,0.812597931682858,0.8634785962205939,5186
0.602,0.8105609526794109,0.8642953798569496,5173
